60,"BitTorrent","$2,498,507,941","$0.00","932,497,500,000","$1,038,436","-2.73 %",2023-07-15 11:46:56.933603
62,"Axie Infinity","$745,692,912","$6.45","115,661,359","$71,560,583","2.05 %",2023-07-15 11:46:56.933603
66,"Curve DAO","$721,222,064","$0.83","869,543,836","$41,589,663","6.71 %",2023-07-15 11:46:56.933603
68,"Bitcoin SV","$700,595,878","$36.35","19,266,077","$56,058,288","9.24 %",2023-07-15 11:46:56.933603
70,"NEO","$667,740,189","$9.46","70,530,000","$38,500,205","1.63 %",2023-07-15 11:46:56.933603
72,"Flow","$641,647,732","$0.62","1,036,200,000","$44,756,333","0.13 %",2023-07-15 11:46:56.933603
74,"Gate","$605,239,427","$4.36","139,018,905","$761,549","0.15 %",2023-07-15 11:46:56.933603
75,"KuCoin","$597,005,691","$6.17","96,794,195","$2,182,370","-0.30 %",2023-07-15 11:46:56.933603
76,"Kava","$590,995,095","$0.94","629,843,836","$22,172,235","3.78 %",2023-07-15 11:46:56.933603
77,"eCash","$583,960,400","$0.00","19,443,285,923,293","$8,114,744","9.79 %",2023-07-15 11:46:56.933603
78,"Chiliz","$573,808,198","$0.08","6,975,647,158","$34,828,575","1.00 %",2023-07-15 11:46:56.933603
80,"Pax Dollar","$562,369,544","$1.00","561,714,309","$1,796,386","-0.01 %",2023-07-15 11:46:56.933603
82,"Klaytn","$544,162,771","$0.17","3,144,477,422","$15,046,113","2.88 %",2023-07-15 11:46:56.933603
83,"IOTA","$543,259,572","$0.20","2,779,530,283","$15,505,648","1.36 %",2023-07-15 11:46:56.933603
84,"cETH","$523,658,698","$38.99","13,431,499","$113","0.47 %",2023-07-15 11:46:56.933603
86,"Compound","$503,175,503","$73.41","6,856,086","$194,837,539","24.33 %",2023-07-15 11:46:56.933603
87,"Terra Luna Classic","$504,247,227","$0.00","5,819,343,530,241","$40,828,225","2.47 %",2023-07-15 11:46:56.933603
89,"PAX Gold","$486,843,874","$1,929.26","252,319","$7,247,100","-0.04 %",2023-07-15 11:46:56.933603
91,"Tether Gold","$481,426,480","$1,952.60","246,524","$5,084,652","-0.06 %",2023-07-15 11:46:56.933603
93,"XDC Network","$460,624,970","$0.03","13,849,921,356","$3,227,396","6.33 %",2023-07-15 11:46:56.933603
94,"Mina Protocol","$456,789,878","$0.49","934,028,595","$22,684,857","1.56 %",2023-07-15 11:46:56.933603
97,"Huobi","$446,213,708","$2.75","162,336,522","$8,358,343","-1.18 %",2023-07-15 11:46:56.933603
98,"DxChain Token","$94,790,225","$0.00","0","$156,923","3.37 %",2023-07-15 11:46:56.933603
100,"Aave LINK","$330,885,424","$25.19","0","$11,646,285","3.32 %",2023-07-15 11:46:56.933603
1173,"Perth Mint Gold Token","$2,065,882","$1,786.56","1,157","$12,755","-0.03 %",2023-07-15 11:46:56.933603
1508,"Digix Gold Token","$1,169,772","$45.22","25,792","$0","-1.00 %",2023-07-15 11:46:56.933603
5920,"AurusGOLD","$0","$58.85","0","$41,716","-0.09 %",2023-07-15 11:46:56.933603
